Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
0.5,0.5,2.2,9.9,40.0,44.0,25295.0,250.1,176.5,54465.0,2.5,63.1,111.0,87.0,3809.0,5.0,7.0,34.0,30.0,1.54,88.0,19.0,0.2,2.0,8.6,1.7,77.0,8.6,43.0,0.0,26.0,37.9,0.75,37.9,4.0,4.6,4.8,46.0,97.0,4598.0,477.0,44.0,38.0,0.0,0.0
1.0,0.8,3.2,7.6,35.0,37.0,29412.0,12.2,9.7,41893.0,2.0,70.9,105.0,87.0,3110.0,4.0,0.0,33.0,43.0,1.78,93.0,17.0,2.5,0.0,8.8,1.7,82.0,8.8,0.0,0.0,0.0,33.3,0.71,33.3,0.2,0.3,0.3,57.0,100.0,292.0,0.0,0.0,11.0,0.0,0.0
1.3,1.0,2.4,18.0,17.0,18.0,11446.0,637.3,610.0,31690.0,2.5,56.1,108.0,79.0,2874.0,7.0,6.0,17.0,21.0,1.23,93.0,25.0,6.7,1.9,6.4,3.1,58.0,6.4,65.0,0.0,53.0,28.3,0.7,24.7,13.6,19.9,22.2,33.0,82.0,19942.0,73.0,18.0,24.0,0.0,0.0
0.9,1.2,2.8,10.3,57.0,80.0,6660.0,181.6,158.0,44644.0,7.3,51.9,146.0,72.0,2496.0,6.0,0.0,52.0,65.0,1.28,81.0,86.0,6.1,0.7,5.8,1.5,10.0,5.8,7.0,0.0,10.0,14.2,0.51,13.3,3.2,4.1,4.7,63.0,79.0,4080.0,152.0,37.0,53.0,0.0,0.0
0.3,0.3,1.7,5.9,30.0,46.0,16603.0,346.4,265.6,38525.0,1.8,58.8,93.0,87.0,2704.0,4.0,6.0,29.0,38.0,1.55,94.0,81.0,-0.2,1.6,8.0,1.4,14.0,8.0,75.0,0.0,28.0,45.3,0.81,45.3,8.2,9.0,9.3,69.0,84.0,9008.0,302.0,39.0,28.0,0.0,0.0
1.1,0.8,1.9,17.9,26.0,38.0,18329.0,978.0,999.6,30586.0,2.1,60.2,104.0,83.0,2989.0,6.0,4.0,26.0,34.0,1.36,95.0,60.0,0.6,1.1,6.9,3.0,35.0,6.9,147.0,0.0,62.0,24.3,0.63,20.8,23.1,32.0,35.1,58.0,35.0,31958.0,81.0,30.0,27.0,0.0,0.0
0.5,0.6,0.3,9.7,10.0,12.0,8212.0,4622.8,3737.3,36182.0,0.8,48.5,97.0,65.0,2244.0,8.0,1.0,9.0,10.0,0.89,99.0,93.0,0.2,1.0,6.4,1.5,3.0,6.4,2.0,0.0,260.0,10.7,0.44,9.0,111.5,127.9,128.0,45.0,76.0,127923.0,70.0,19.0,19.0,0.0,0.0
1.0,0.9,2.6,19.8,10.0,10.0,14057.0,11711.8,11651.1,39883.0,1.9,59.6,105.0,81.0,5711.0,8.0,8.0,11.0,14.0,1.39,93.0,82.0,0.9,4.0,6.8,8.4,14.0,6.8,379.0,1.0,1546.0,15.0,0.62,15.2,220.2,295.4,325.7,85.0,70.0,295410.0,67.0,22.0,23.0,0.0,0.0
0.5,0.1,1.3,5.6,36.0,44.0,8701.0,357.5,244.1,48385.0,0.2,60.1,115.0,79.0,3776.0,6.0,6.0,34.0,37.0,0.8,82.0,93.0,-0.2,1.0,6.7,4.8,7.0,6.7,48.0,0.0,4.0,24.8,0.61,25.0,6.3,7.2,7.3,63.0,79.0,7240.0,210.0,43.0,26.0,0.0,0.0
0.6,0.3,2.6,8.7,54.0,65.0,7026.0,579.0,517.6,35560.0,2.1,55.8,128.0,76.0,2987.0,8.0,3.0,51.0,60.0,1.08,96.0,70.0,0.1,1.7,6.1,3.7,30.0,6.1,118.0,0.0,53.0,34.2,0.63,36.7,13.7,16.2,16.8,61.0,86.0,16226.0,258.0,33.0,35.0,0.0,0.0
0.4,0.2,1.6,13.0,23.0,37.0,17111.0,185.9,156.6,35562.0,2.2,56.9,98.0,86.0,2108.0,4.0,4.0,24.0,32.0,1.2,97.0,83.0,1.7,1.2,5.7,1.7,16.0,5.7,12.0,0.0,28.0,37.5,0.71,37.5,4.7,5.2,5.4,63.0,79.0,5235.0,130.0,38.0,25.0,0.0,0.0
0.8,1.2,2.0,22.0,104.0,146.0,16348.0,31.9,31.7,70295.0,5.4,44.1,122.0,68.0,3680.0,8.0,0.0,100.0,125.0,1.18,91.0,86.0,246.9,0.9,6.2,0.6,13.0,6.2,2.0,0.0,1.0,23.3,0.49,23.3,0.4,0.5,0.5,83.0,79.0,459.0,524.0,39.0,37.0,0.0,0.0
0.2,0.1,1.9,8.3,71.0,84.0,8791.0,352.3,324.1,33807.0,1.7,43.4,119.0,72.0,2828.0,8.0,1.0,69.0,81.0,1.21,82.0,81.0,7.0,1.3,6.3,3.1,18.0,6.3,15.0,0.0,37.0,35.7,0.63,34.7,9.8,10.4,10.5,65.0,73.0,10400.0,141.0,41.0,44.0,0.0,0.0
0.3,0.1,2.0,8.6,38.0,51.0,8527.0,292.3,263.8,35766.0,2.0,49.3,114.0,75.0,2306.0,7.0,1.0,37.0,46.0,1.19,74.0,84.0,1.4,0.8,5.1,2.4,15.0,5.1,21.0,0.0,40.0,32.2,0.44,33.9,7.6,8.2,8.3,42.0,68.0,8171.0,83.0,63.0,25.0,0.0,0.0
0.2,0.2,2.2,10.1,36.0,43.0,7138.0,241.4,172.5,44673.0,1.7,59.4,96.0,84.0,2762.0,5.0,1.0,31.0,38.0,1.42,96.0,66.0,-3.6,1.5,7.5,1.5,31.0,7.5,44.0,0.0,21.0,36.9,0.73,36.9,5.1,5.4,5.6,78.0,84.0,5414.0,377.0,39.0,36.0,0.0,0.0
0.5,0.3,1.6,6.2,21.0,26.0,8319.0,2046.6,1769.2,33896.0,1.7,48.2,105.0,79.0,2902.0,7.0,1.0,23.0,26.0,1.28,86.0,83.0,1.2,2.6,7.7,2.4,17.0,7.7,137.0,0.0,255.0,13.9,0.64,12.2,52.7,60.3,62.3,63.0,79.0,60257.0,137.0,33.0,37.0,0.0,0.0
0.2,0.6,3.2,7.7,20.0,27.0,5943.0,1677.8,1622.4,29143.0,1.3,37.0,103.0,61.0,2266.0,6.0,1.0,20.0,26.0,1.34,84.0,88.0,1.0,2.0,6.3,2.1,11.0,6.3,21.0,0.0,191.0,16.1,0.46,17.3,55.4,58.0,57.8,58.0,95.0,58033.0,43.0,41.0,32.0,0.0,0.0
0.2,0.3,2.7,9.4,24.0,25.0,6755.0,2124.4,1845.2,35485.0,2.2,55.0,104.0,79.0,2389.0,8.0,1.0,27.0,28.0,1.37,81.0,76.0,3.4,2.8,6.9,1.1,18.0,6.9,293.0,0.0,217.0,18.5,0.65,19.7,55.4,59.5,61.4,63.0,79.0,59479.0,131.0,32.0,38.0,0.0,0.0
0.6,0.4,3.4,7.3,16.0,26.0,6325.0,1039.9,1069.3,24360.0,2.3,44.2,130.0,65.0,1853.0,6.0,1.0,20.0,29.0,1.22,97.0,77.0,1.6,1.1,5.5,2.2,21.0,5.5,5.0,0.0,147.0,30.5,0.5,36.0,35.6,42.6,44.4,63.0,79.0,42646.0,56.0,20.0,17.0,0.0,0.0
0.9,0.7,1.9,8.8,27.0,29.0,10453.0,98.9,95.1,24364.0,2.1,59.8,112.0,81.0,1893.0,6.0,0.0,27.0,29.0,1.41,85.0,31.0,2.3,1.0,6.3,1.8,65.0,6.3,5.0,0.0,9.0,32.2,0.7,32.2,3.1,4.0,4.3,59.0,36.0,3989.0,52.0,19.0,31.0,0.0,0.0
0.2,0.6,1.7,9.8,25.0,38.0,7258.0,2740.6,2335.5,33212.0,1.5,50.4,114.0,76.0,3001.0,7.0,1.0,25.0,33.0,1.35,92.0,84.0,-1.3,1.4,8.7,2.4,9.0,8.7,700.0,0.0,285.0,30.5,0.58,31.8,78.7,82.6,82.5,51.0,71.0,82645.0,91.0,28.0,31.0,0.0,0.0
2.3,1.6,7.1,10.6,35.0,44.0,6843.0,116.9,165.7,17194.0,1.6,49.7,121.0,84.0,1911.0,8.0,1.0,45.0,49.0,1.33,96.0,94.0,1.4,8.7,6.1,2.8,5.0,6.1,1.0,1.0,168.0,14.2,0.64,14.2,3.4,6.6,7.8,34.0,80.0,6601.0,0.0,0.0,0.0,478.9,72.6
0.7,0.1,6.8,8.7,18.0,21.0,5497.0,205.2,245.5,18560.0,2.6,42.7,119.0,66.0,1997.0,8.0,0.0,28.0,29.0,1.17,88.0,59.0,0.7,4.2,5.1,4.8,38.0,5.1,2.0,0.0,164.0,13.0,0.55,13.0,9.0,11.1,11.2,63.0,79.0,11098.0,42.0,0.0,14.0,0.0,0.0
2.2,1.1,1.3,11.3,37.0,48.0,8087.0,106.8,119.1,25191.0,3.8,50.8,101.0,66.0,1156.0,8.0,0.0,38.0,46.0,1.35,94.0,84.0,15.0,4.7,1.6,2.9,13.0,1.6,0.0,0.0,73.0,18.9,0.51,18.9,2.3,4.3,4.8,67.0,77.0,4273.0,0.0,0.0,0.0,9.2,2.2
1.0,0.3,4.4,9.6,28.0,44.0,7338.0,679.7,985.6,14136.0,4.5,50.1,106.0,68.0,1074.0,4.0,1.0,29.0,40.0,0.61,99.0,92.0,1.2,2.4,2.8,2.8,8.0,2.8,0.0,0.0,688.0,13.4,0.46,13.4,35.3,47.6,49.1,21.0,82.0,47645.0,0.0,0.0,0.0,-67.6,-1.4
0.4,-0.1,9.7,7.8,91.0,60.0,7109.0,32.2,41.8,16115.0,3.6,53.4,99.0,80.0,1669.0,6.0,0.0,79.0,61.0,1.38,94.0,90.0,2.6,1.6,6.7,2.1,10.0,6.7,0.0,0.0,7.0,10.8,0.61,12.2,1.7,2.0,1.9,66.0,85.0,1967.0,0.0,0.0,0.0,62.2,31.6
0.5,0.3,3.9,5.6,33.0,31.0,4770.0,167.7,206.1,15970.0,2.1,55.2,112.0,79.0,1791.0,8.0,0.0,39.0,38.0,1.32,95.0,85.0,0.5,2.3,6.7,2.9,15.0,6.7,0.0,0.0,45.0,21.3,0.59,21.3,9.1,10.4,10.8,78.0,84.0,10441.0,100.0,70.0,85.0,0.0,0.0
1.0,1.0,3.3,8.9,52.0,48.0,5656.0,15.4,18.8,18668.0,3.0,53.0,111.0,74.0,1143.0,8.0,0.0,57.0,46.0,0.98,86.0,65.0,7.2,1.5,3.1,3.3,35.0,3.1,1.0,0.0,10.0,14.3,0.59,14.3,0.6,0.8,0.9,69.0,79.0,826.0,0.0,0.0,0.0,60.0,72.6
0.1,-0.1,5.6,11.4,45.0,72.0,6567.0,107.0,198.3,10475.0,2.7,51.7,85.0,76.0,1302.0,7.0,0.0,43.0,72.0,1.1,97.0,90.0,4.2,1.8,6.8,0.8,10.0,6.8,2.0,4.0,22.0,15.7,0.51,17.0,10.0,10.2,10.1,61.0,79.0,10229.0,0.0,0.0,0.0,279.8,27.4
0.9,0.4,2.8,6.2,85.0,76.0,5632.0,5.3,7.6,13256.0,3.6,32.5,153.0,47.0,1436.0,6.0,0.0,99.0,83.0,1.33,87.0,90.0,7.0,0.8,7.4,1.9,9.0,7.4,2.0,0.0,2.0,9.2,0.48,9.2,0.3,0.4,0.4,20.0,100.0,400.0,0.0,0.0,0.0,6.2,15.5
3.3,2.4,1.8,31.1,45.0,60.0,16379.0,55.7,47.7,22654.0,-0.4,48.0,138.0,56.0,567.0,7.0,0.0,58.0,33.0,2.72,97.0,62.0,7.0,7.9,2.7,0.8,36.0,2.7,2.0,0.0,16.0,1.5,0.37,1.5,1.0,2.6,3.4,83.0,62.0,2606.0,0.0,0.0,0.0,2.6,1.0
-0.1,-0.3,15.9,5.7,31.0,64.0,4051.0,100.7,169.9,9962.0,3.1,42.1,91.0,73.0,1269.0,9.0,0.0,29.0,68.0,1.4,99.0,88.0,4.6,1.5,6.1,2.3,11.0,6.1,8.0,4.0,32.0,10.4,0.64,10.4,10.5,10.1,9.8,47.0,48.0,10124.0,0.0,0.0,0.0,302.7,29.9
1.3,1.0,7.1,3.4,10.0,25.0,2543.0,153.0,510.3,3988.0,1.3,52.2,136.0,68.0,1067.0,7.0,0.0,5.0,18.0,1.51,95.0,29.0,2.7,1.1,4.3,4.6,70.0,4.3,3.0,1.0,71.0,36.5,0.53,35.0,26.0,38.4,42.7,65.0,66.0,38372.0,0.0,0.0,0.0,91.2,2.4
0.4,-0.1,17.5,7.9,29.0,39.0,3702.0,242.3,495.4,6346.0,4.0,47.9,84.0,78.0,745.0,6.0,0.0,22.0,41.0,1.41,97.0,81.0,5.2,2.0,4.5,2.0,19.0,4.5,5.0,20.0,142.0,19.1,0.59,20.4,34.0,38.6,38.1,56.0,78.0,38559.0,0.0,0.0,0.0,1524.8,39.5
1.5,1.0,6.7,3.7,35.0,36.0,3092.0,94.1,175.3,5836.0,3.7,36.4,113.0,51.0,707.0,5.0,0.0,31.0,30.0,0.95,95.0,13.0,8.1,3.9,3.0,3.1,86.0,3.0,1.0,1.0,78.0,12.7,0.39,15.0,10.4,16.1,17.9,114.0,85.0,16124.0,0.0,0.0,0.0,49.1,3.0
3.3,1.6,0.4,31.0,116.0,82.0,11274.0,11.0,14.9,15384.0,2.2,29.2,104.0,33.0,813.0,8.0,0.0,95.0,64.0,1.84,99.0,10.0,7.0,4.4,2.8,1.3,90.0,2.8,0.0,0.0,11.0,7.5,0.33,0.0,0.3,0.7,0.9,49.0,97.0,716.0,0.0,0.0,0.0,103.9,145.1
-0.2,-0.3,13.3,13.6,37.0,78.0,6094.0,11.2,19.6,8331.0,4.3,52.2,81.0,80.0,682.0,4.0,0.0,38.0,86.0,1.68,96.0,77.0,9.3,1.8,4.1,1.2,22.0,4.1,0.0,1.0,5.0,18.8,0.62,18.8,1.4,1.3,1.3,75.0,70.0,1335.0,0.0,0.0,0.0,136.4,102.2
0.1,-0.4,16.7,3.7,52.0,54.0,3453.0,22.3,45.0,6480.0,1.4,51.8,87.0,81.0,754.0,4.0,0.0,61.0,61.0,1.55,98.0,58.0,3.5,1.7,5.0,1.6,42.0,5.0,1.0,1.0,14.0,22.0,0.69,22.0,3.3,3.4,3.3,89.0,74.0,3443.0,0.0,0.0,0.0,252.2,73.3
0.5,0.6,8.1,7.0,27.0,77.0,5377.0,41.1,78.7,7635.0,2.7,51.9,87.0,76.0,777.0,7.0,0.0,36.0,79.0,1.22,98.0,86.0,2.7,1.7,5.2,0.7,14.0,5.2,0.0,1.0,20.0,16.7,0.58,16.7,4.7,5.4,5.4,34.0,87.0,5401.0,0.0,0.0,0.0,235.2,43.5
