"","V1","V2"
"alcohol",-0.0936240674683548,-0.305550125002348
"malic_acid",-0.474657385194342,-0.00763064050869261
"ash",0.309748713674441,-0.287794469840105
"alcalinity_of_ash",0.00307632050232924,-0.0491336428891792
"magnesium",0.0503432514730121,-0.184309245254105
"total_phenols",0.131311589992343,-0.074258595957698
"flavanoids",-0.337519029122838,-0.0222379254099851
"nonflavanoid_phenols",-0.286601715869681,0.13810707226849
"proanthocyanins",-0.366420714247151,0.0668987882978922
"color_intensity",-0.255872529567999,-0.0290067161312671
"hue",-0.118977035959107,0.194847375811781
"od280.od315_of_diluted_wines",-0.013901898748395,-0.0554373178240496
"proline",0.178188124702638,0.0611987225578917
