alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
-0.049411,1.000017,-0.062631,-0.296450,0.438558,-1.449746,-1.335007,0.308120,-1.138483,0.094283,-1.218348,-1.217386,-0.227420
0.068707,1.051518,-0.412162,0.062474,0.304279,-1.365476,-1.407008,0.423695,-0.836915,-0.170442,-1.386158,-1.264658,0.008573
0.034290,1.036512,-0.310318,-0.042108,0.343405,-1.390030,-1.386029,0.390019,-0.924784,-0.093308,-1.337263,-1.250884,-0.060189
0.048879,1.042873,-0.353487,0.002221,0.326821,-1.379622,-1.394922,0.404294,-0.887539,-0.126003,-1.357988,-1.256722,-0.031043
0.010831,1.026284,-0.240899,-0.113391,0.370073,-1.406767,-1.371729,0.367066,-0.984677,-0.040732,-1.303935,-1.241496,-0.107059
0.163219,1.092727,-0.691837,0.349663,0.196837,-1.298048,-1.464619,0.516172,-0.595617,-0.382259,-1.520431,-1.302481,0.197402
0.195862,1.106960,-0.788433,0.448855,0.159728,-1.274759,-1.484517,0.548113,-0.512276,-0.455418,-1.566807,-1.315545,0.262621
0.159942,1.091299,-0.682142,0.339708,0.200562,-1.300385,-1.462622,0.512966,-0.603982,-0.374916,-1.515776,-1.301170,0.190856
0.024328,1.032168,-0.280836,-0.072381,0.354731,-1.397138,-1.379956,0.380271,-0.950220,-0.070980,-1.323109,-1.246897,-0.080094
0.050290,1.043488,-0.357662,0.006509,0.325217,-1.378616,-1.395782,0.405674,-0.883937,-0.129165,-1.359993,-1.257287,-0.028224
0.328644,1.243055,-0.255311,0.718874,0.158572,-1.060383,-1.395893,0.549108,-0.424019,0.176757,-1.373253,-1.391285,0.151423
0.290794,1.204088,-0.409317,0.642197,0.158572,-1.121755,-1.421529,0.549108,-0.448626,-0.005493,-1.429267,-1.369645,0.183949
0.334990,1.249587,-0.229491,0.731728,0.158572,-1.050094,-1.391596,0.549108,-0.419894,0.207311,-1.363862,-1.394913,0.145970
0.255922,1.168188,-0.551205,0.571555,0.158572,-1.178298,-1.445148,0.549108,-0.471296,-0.173403,-1.480874,-1.349708,0.213915
0.239414,1.151193,-0.618375,0.538112,0.158572,-1.205065,-1.456329,0.549108,-0.482028,-0.252891,-1.505305,-1.340270,0.228101
0.129741,1.079960,-0.756261,0.417944,0.134721,-1.296713,-1.488548,0.535422,-0.566221,-0.420962,-1.553348,-1.303957,0.206959
-0.732446,0.727526,-0.304461,-0.018706,-0.171575,-1.587960,-1.532345,0.359667,-1.292326,0.050794,-1.361957,-1.149918,-0.533942
-0.676582,0.750362,-0.333734,0.009586,-0.151729,-1.569090,-1.529507,0.371054,-1.245280,0.020227,-1.374358,-1.159899,-0.485937
-0.716756,0.733940,-0.312683,-0.010760,-0.166001,-1.582660,-1.531548,0.362865,-1.279113,0.042209,-1.365440,-1.152721,-0.520459
-0.024491,1.016915,-0.675441,0.339834,0.079929,-1.348813,-1.496382,0.503982,-0.696110,-0.336572,-1.519111,-1.276402,0.074423
0.137616,1.083179,-0.760388,0.421932,0.137518,-1.294053,-1.488148,0.537027,-0.559589,-0.425271,-1.555096,-1.305364,0.213726
-0.858509,0.675996,-0.238402,-0.082550,-0.216360,-1.630545,-1.538748,0.333969,-1.398493,0.119771,-1.333973,-1.127395,-0.642272
-0.009072,1.023218,-0.683521,0.347643,0.085407,-1.343604,-1.495599,0.507125,-0.683124,-0.345009,-1.522534,-1.279157,0.087674
-0.719999,0.732614,-0.310983,-0.012403,-0.167153,-1.583756,-1.531712,0.362204,-1.281844,0.043983,-1.364720,-1.152142,-0.523246
-0.139239,0.970010,-0.615311,0.281721,0.039164,-1.387575,-1.502211,0.480591,-0.792747,-0.273787,-1.493639,-1.255901,-0.024183
0.464276,1.119180,-0.695532,0.156480,-0.486235,-1.147905,-1.531237,1.341956,-0.992389,0.024680,-0.963883,-1.186240,-0.257578
0.600100,1.125162,-0.646813,0.006398,-0.813765,-1.083837,-1.554654,1.744684,-1.237582,0.269704,-0.656893,-1.120353,-0.522845
0.308486,1.112319,-0.751411,0.328624,-0.110560,-1.221389,-1.504379,0.880029,-0.711154,-0.256362,-1.315998,-1.261813,0.046683
